name,ra,ra_hours,dec,min_mag,max_mag,mag_range,variability_type,period_days,variable_star_number,class
del Ser,233.70063,15.580042,10.53886,4.19,4.23,0.04,DSCTC,0.134,769004,STAR F0IV
V648 Peg,340.12904,22.67526933,17.72517,13.9,14.2,0.3,DSCT,0.134183,620648,STAR
BG CMi,112.87104,7.524736,9.93975,15.2,14.7,0.5,XM,0.13474854,150085,X-RAY BINARY
XX Cyg,300.81517,20.05434467,58.95458,12.13,11.28,0.85,SXPHE,0.134865113,310049,STAR A5
V3041 Cyg,308.63437,20.57562467,49.76636,9.94,9.92,0.02,DSCTC,0.13487,313041,STAR
V705 Per,56.13004,3.742002667,32.10614,10.52,10.56,0.04,DSCTC:,0.135,630705,STAR F0
V494 Vul,298.31925,19.88795,20.56192,12,11.8,0.2,DSCT,0.135674,880494,STAR
OZ Dra,201.84746,13.45649733,65.48172,20,18,2,EA+NL,0.136647,340313,ALGOL STAR
V411 Sge,286.85012,19.12334133,19.02347,10.8,10.5,0.3,DSCT,0.1366842,710411,STAR F0
V455 Peg,326.93471,21.79564733,19.4855,10.4,10.36,0.04,DSCTC,0.13683,620455,STAR
V1965 Aql,295.97729,19.73181933,9.84247,12.48,12.02,0.46,DSCT,0.1369364,51965,STAR
BY Cam,85.70383,5.713588667,60.85883,17.5,13.6,3.9,XM,0.13712,110102,X-RAY BINARY
V793 Lac,342.31425,22.82095,51.61869,12.99,12.93,0.06,DSCTC,0.13716,450793,STAR
V1927 Aql,289.36313,19.29087533,6.49719,11.8,11.5,0.3,DSCT,0.13734,51927,STAR
V562 And,30.54729,2.036486,44.33044,16.85,16.67,0.18,DSCT,0.13805,10562,STAR
V456 Aur,97.132,6.475466667,39.11042,7.95,7.88,0.07,DSCTC,0.138657,80456,STAR F0
V1194 Cas,355.64096,23.70939733,56.18889,10.63,10.55,0.08,DSCTC,0.1387,181194,STAR
WX Ari,41.90083,2.793388667,10.59414,15.8,15.3,0.5,E+NL,0.13935119,70046,CV NOVA LIKE
V1315 Aql,288.47721,19.231814,12.30089,16.25,14.3,1.95,EA+NL,0.139689938,51315,ALGOL STAR
V357 Her,281.1325,18.74216667,12.92561,13.8,13.2,0.6,DSCT,0.139725,400357,STAR
V2052 Oph,269.07667,17.93844467,0.67036,5.84,5.81,0.03,BCEP,0.1398903,592052,STAR B2IV
V376 Cam,74.33746,4.955830667,79.34964,12.15,11.75,0.4,SXPHE,0.1403229,110376,STAR
QW Lyn,114.53558,7.635705333,38.85872,22.7,22.4,0.3,SXPHE,0.14033,510331,STAR
V2805 Oph,276.58204,18.43880267,7.46608,12.19,12.2,0.01,DSCTC:,0.14068,592805,STAR
V2452 Cyg,320.91292,21.39419467,46.33919,19.88,19.9,0.02,DSCTC,0.141,312452,STAR
V568 Lac,342.33742,22.82249467,51.18569,12.03,11.98,0.05,DSCTC,0.1411,450568,STAR
V1078 Per,46.03437,3.068958,38.515,10.39,10.74,0.35,DSCT,0.1413,631078,STAR
V2796 Oph,275.77892,18.38526133,6.70361,12.29,12.3,0.01,DSCTC:,0.14254,592796,STAR
V365 And,24.19475,1.612983333,48.31547,7.53,7.49,0.04,DSCTC,0.142816,10365,STAR F0
V1294 Tau,60.15517,4.010344667,6.37939,15.4,14.9,0.5,NL,0.143,781294,CV NOVA LIKE
gam UMi,230.18213,15.34547533,71.83403,2.99,3.04,0.05,DSCTC,0.143009,849003,STAR A3II
V2539 Cyg,305.89058,20.39270533,40.75553,11.69,11.71,0.02,BCEP,0.14301,312539,STAR B6
EV Lyn,118.67929,7.911952667,50.12475,18.4,17.75,0.65,EA+NL,0.143031,510165,ALGOL STAR
V1395 Cas,354.86429,23.65761933,52.23903,11.99,11.82,0.17,DSCT,0.1440836,181395,STAR
IM Tau,62.70775,4.180516667,26.48094,5.58,5.37,0.21,DSCT,0.145067,780230,STAR F2IV
CH CrB,241.93767,16.129178,36.38914,19.5,17.9,1.6,EA+NL,0.14549982,270109,ALGOL STAR
V435 Lyr,289.43517,19.295678,28.49669,15.2,14.6,0.6,DSCT:,0.146004,520435,STAR
V1124 Cas,23.32046,1.554697333,60.83825,15.98,15.94,0.04,DSCTC,0.1463,181124,STAR
V3705 Oph,268.18804,17.87920267,7.01158,11.16,10.85,0.31,DSCT,0.1463212,593705,STAR
PX And,7.52442,0.501628,26.29081,17,14.04,2.96,E+NL,0.14635,10322,CV DWARF NOVA U GEM TYPE
LS Psc,26.36921,1.757947333,12.90694,9.3,8.94,0.36,DSCT,0.1466442,660267,STAR A5
V2890 Cyg,299.88271,19.99218067,38.23711,12.96,12.9,0.06,DSCTC,0.14684,312890,STAR
V521 Cas,359.27617,23.95174467,56.76144,14.19,14.4,0.21,DSCT,0.147,180521,STAR
V426 Com,198.24579,13.216386,18.17281,19.6,19.21,0.39,SXPHE,0.14756,250426,STAR
V758 Aur,89.70621,5.980414,28.67197,13.46,13.4,0.06,DSCTC,0.14789,80758,STAR
V597 Lyr,287.99887,19.19992467,42.31278,10.89,11,0.11,DSCT,0.1479,520597,STAR
ups Tau,66.57692,4.438461333,22.81358,4.31,4.28,0.03,DSCTC,0.1484,789020,STAR A8V
V876 Cep,333.40408,22.22693867,55.74103,11.35,11.2,0.15,DSCT,0.148585,200876,STAR
V2806 Oph,276.72562,18.44837467,6.96817,11.76,11.8,0.04,DSCTC:,0.14862,592806,STAR
DY Her,247.82479,16.52165267,11.99792,10.66,10.15,0.51,DSCT,0.148631353,400147,STAR A7III
V2771 Cyg,316.79113,21.11940867,30.87628,9.7,9.5,0.2,DSCT,0.149425,312771,STAR F2
V567 Oph,269.61338,17.97422533,1.10147,11.43,11.07,0.36,DSCT,0.149521,590567,STAR A7
V656 Lac,344.34188,22.95612533,51.61447,14.27,14.22,0.05,DSCTC:,0.14961,450656,STAR
V1208 Aql,289.91396,19.32759733,12.37467,5.56,5.51,0.05,DSCTC,0.149663,51208,STAR F0III
V524 Hya,140.03987,9.335991333,0.71275,19.4,17.12,2.28,EA,0.15,420524,ALGOL STAR
V801 Lyr,290.28904,19.35260267,42.18183,13.39,13.24,0.15,DSCT,0.150781,520801,STAR
V361 Dra,256.82629,17.12175267,64.65919,19.5,16.8,2.7,UV+BY,0.1508,340361,STAR M9V
V537 Aur,77.18771,5.145847333,40.25467,12.05,12.1,0.05,DSCTC,0.15132,80537,STAR
gam Peg,3.30896,0.220597333,15.18361,2.89,2.78,0.11,BCEP,0.151750125,629003,STAR B2IV
V493 Lac,337.06508,22.47100533,52.41286,12.8,12.66,0.14,DSCT,0.1521,450493,STAR
V483 Gem,96.42333,6.428222,22.10542,12.74,12.12,0.62,DSCT,0.1526484,380483,STAR
V755 Per,32.55583,2.170388667,57.19028,10.19,10.14,0.05,DSCTC:,0.153,630755,STAR
BZ Cam,97.39204,6.492802667,71.07694,14.3,11.4,2.9,NL,0.153693,110103,CV NOVA LIKE
V1782 Aql,287.00917,19.13394467,4.15033,13.92,13.75,0.17,DSCT,0.1542,51782,STAR
V2802 Oph,276.16946,18.41129733,7.06825,9.16,9.2,0.04,DSCTC:,0.15436,592802,STAR F0
OX Aur,103.25588,6.883725333,38.86917,6.14,5.94,0.2,DSCT,0.154412,80311,STAR F2IV
V2533 Cyg,305.74558,20.38303867,40.76094,10.81,10.87,0.06,BCEP,0.156539,312533,STAR B1V
V2913 Cyg,303.73246,20.24883067,58.55725,14.72,14.56,0.16,DSCT,0.156785,312913,STAR
V2824 Oph,278.31867,18.554578,6.48575,9.09,9.1,0.01,DSCTC:,0.15686,592824,STAR A5
LX Ser,234.50037,15.633358,18.86758,17.4,13.3,4.1,EA+UG:,0.158432441,760272,ALGOL STAR
PP Cnc,130.43408,8.695605333,25.5085,12.32,11.9,0.42,DSCT,0.1595357,120314,STAR
V777 Tau,66.58642,4.439094667,15.61828,4.71,4.73,0.02,DSCTC,0.16,780777,STAR A8V
V1301 Tau,61.80767,4.120511333,22.15861,14.89,14.7,0.19,DSCT,0.16,781301,STAR
V1026 Cas,1.75771,0.117180667,64.73472,8.67,8.73,0.06,DSCTC,0.160018,181026,STAR A5
NS Cnc,123.23687,8.215791333,19.19942,17.7,15.2,2.5,E+NL,0.16005248,120294,CV NOVA LIKE
VW Ari,36.69021,2.446014,10.56531,6.76,6.64,0.12,DSCT,0.1606,70041,STAR F0IV
del Cet,39.87067,2.658044667,0.3285,4.1,4.05,0.05,BCEP,0.16113668,219004,STAR B2IV
V1438 Aql,284.96238,18.997492,11.44489,7.86,7.79,0.07,DSCTC,0.161272,51438,STAR F0
V356 Dra,253.90367,16.92691133,52.37883,13.9,13.36,0.54,DSCT,0.16132,340356,STAR
DD CrB,233.456,15.56373333,37.99114,14.41,12.96,1.45,EA,0.16177042,270127,STAR B0VI
V3339 Oph,271.10537,18.07369133,4.84761,15.47,15.32,0.15,DSCT,0.16287,593339,STAR
V757 Per,34.59604,2.306402667,57.01019,7.79,7.74,0.05,BCEP,0.164309,630757,STAR B1II
V372 Sge,302.41496,20.16099733,21.07878,8.44,8.47,0.03,BCEP,0.164314,710372,STAR B0IV
V1057 Per,23.90342,1.593561333,54.47606,16.02,15.94,0.08,DSCTC:,0.16438,631057,STAR
V2677 Cyg,292.41458,19.49430533,41.81064,14.14,14.01,0.13,DSCT,0.165826,312677,STAR
V471 Per,29.70688,1.980458667,52.89697,13.27,13.03,0.24,EA:/PN,0.16668,630471,STAR G2I
V3632 Oph,279.58412,18.63894133,9.39775,14.23,14.12,0.11,SXPHE,0.16781,593632,STAR
V3017 Cyg,308.16708,20.544472,50.61025,11.54,11.53,0.01,DSCTC,0.16785,313017,STAR
V622 And,348.3595,23.22396667,44.02392,11.1,11,0.1,DSCT,0.16878,10622,STAR
V649 Lac,344.20263,22.946842,52.17719,12.78,12.72,0.06,DSCTC,0.169039,450649,STAR
V352 Aur,103.81108,6.920738667,43.91003,6.18,6.13,0.05,DSCTC,0.17,80352,STAR F1IV
eta Hya,130.80617,8.720411333,3.39867,4.33,4.27,0.06,BCEP,0.17,429007,STAR B3V
V1276 Tau,56.63342,3.775561333,24.47625,17.05,17.15,0.1,BY,0.17,781276,STAR
V2981 Cyg,307.34508,20.489672,50.30044,13.96,13.88,0.08,DSCTC,0.17006,312981,STAR
V418 Gem,106.03621,7.069080667,26.41956,15.8,16.3,0.5,XM,0.1706,380418,X-RAY BINARY
V1104 Per,69.08417,4.605611333,44.77244,13.55,13.47,0.08,DSCTC,0.17123,631104,STAR
V1074 Cas,19.28604,1.285736,58.47442,16.67,16.54,0.13,DSCT:,0.171418,181074,STAR
V681 And,353.92708,23.59513867,39.74086,14.71,14.38,0.33,R,0.1718023,10681,STAR B0VI
V553 Dra,248.96046,16.597364,66.32581,14.02,13.43,0.59,DSCT,0.1719814,340553,STAR
V1440 Her,269.01654,17.934436,46.71031,12.85,12.9,0.05,DSCTC:,0.172826,401440,STAR
V481 Lac,329.82137,21.98809133,44.31611,11.52,11.35,0.17,DSCT,0.174,450481,STAR
V1410 Her,263.91092,17.59406133,32.44222,12.52,12.4,0.12,DSCT:,0.17507,401410,STAR
GY Cnc,137.46071,9.164047333,18.82978,18.4,12.9,5.5,UGSS+EA,0.175442499,120207,CV DWARF NOVA U GEM TYPE
VY Equ,314.70683,20.98045533,8.90147,10.51,10.21,0.3,DSCT,0.1764484,350043,STAR F0
V2367 Cyg,293.68992,19.579328,45.90453,11.41,11.81,0.4,DSCT,0.176617,312367,STAR
CR CrB,243.61675,16.24111667,30.52914,11.68,11.8,0.12,DSCT:,0.17690501,270118,STAR
AR Ari,49.51746,3.301164,24.87722,7.98,7.87,0.11,DSCT,0.1770392,70071,STAR F0
VZ Cnc,130.21717,8.681144667,9.82422,7.91,7.18,0.73,DSCT,0.178364,120044,STAR A7III
V459 Cep,350.18808,23.345872,77.06264,7.75,7.72,0.03,DSCTC,0.178805,200459,STAR F2
V741 Lac,341.38063,22.75870867,49.13267,16.77,16.52,0.25,DSCT:,0.17934,450741,STAR
V735 Lac,341.33263,22.75550867,51.53014,13.79,13.76,0.03,DSCTC,0.17955,450735,STAR
BS Cam,80.74942,5.383294667,69.40128,8.73,8.8,0.07,DSCTC,0.1803695,110096,STAR F2
AW CrB,243.83417,16.25561133,35.70728,11.35,11.08,0.27,DSCT:,0.180465,270076,STAR
HN CVn,187.03979,12.46931933,35.56092,11.55,11.15,0.4,DSCT,0.180783,130214,STAR F8
V3541 Oph,274.08637,18.27242467,3.25739,16.2,15.6,0.6,DSCT,0.181854,593541,STAR
V1449 Aql,289.31167,19.28744467,1.05942,8.37,8.23,0.14,BCEP,0.1822529,51449,STAR B1II
EP Cnc,130.23458,8.682305333,19.58033,6.75,6.78,0.03,DSCTC,0.1829,120159,STAR A6V
MQ Dra,238.38042,15.892028,55.27078,18.8,17.7,1.1,AM,0.18297,340279,CV AM HER (POLAR)
V3178 Oph,268.65725,17.91048333,7.17933,16.45,15.95,0.5,DSCT,0.1833817,593178,STAR
CM CrB,242.68075,16.17871667,34.6205,11.43,11.57,0.14,DSCT:,0.18391199,270113,STAR
ET Lyn,118.16683,7.877788667,39.53828,7.42,7.38,0.04,DSCTC,0.184373,510163,STAR F1III
V680 Lac,338.03242,22.53549467,39.79892,8.72,8.28,0.44,DSCT,0.18734,450680,STAR F5
V2112 Oph,259.71996,17.314664,6.08544,6.52,6.5,0.02,DSCTC,0.1874472,592112,STAR F0III
V827 Lyr,273.70692,18.247128,40.16342,13.45,13.25,0.2,DSCT:,0.1875179,520827,STAR
V3430 Oph,272.22717,18.148478,0.37683,16.1,15.7,0.4,DSCT:,0.188118,593430,STAR
CW Ser,238.29079,15.88605267,6.09056,12.06,11.59,0.47,DSCT,0.1891505,760123,STAR A0
V356 Aur,85.61704,5.707802667,28.99875,8.1,7.97,0.13,DSCT,0.1892678,80356,STAR F4III
V2877 Cyg,298.36246,19.89083067,37.90006,14.5,14.55,0.05,DSCTC,0.1895,312877,STAR
V1143 Cas,25.89829,1.726552667,64.03522,11.45,11.3,0.15,BCEP,0.189991,181143,STAR
alf Lyr,279.23471,18.61564733,38.78367,0.07,-0.02,0.09,DSCTC,0.19,529001,STAR A0V
V2535 Cyg,305.78154,20.385436,40.76914,10.42,10.46,0.04,BCEP,0.190396,312535,STAR B0V
bet Cep,322.165,21.47766667,70.56072,3.17,3.12,0.05,BCEP,0.190482,209002,STAR B2III
V2800 Oph,276.11163,18.407442,6.76133,12.09,12.1,0.01,DSCTC:,0.19167,592800,STAR
V703 Lac,340.89017,22.72601133,49.06358,16.1,15.8,0.3,DSCT,0.191797,450703,STAR
V2534 Cyg,305.78042,20.38536133,40.78203,10.6,10.66,0.06,BCEP,0.192198,312534,STAR B3
BY CrB,240.77579,16.05171933,26.23958,12.48,12.34,0.14,DSCT,0.192446,270102,STAR
BX Tri,35.21179,2.347452667,33.34664,12.7,12.35,0.35,EW:,0.192634,800101,STAR M0
DD Lac,340.36937,22.69129133,40.22544,5.28,5.16,0.12,BCEP,0.1930924,450127,STAR B1III
V1155 Cas,26.66254,1.777502667,61.23503,10.37,10.41,0.04,BCEP,0.194047,181155,STAR B5
V976 Per,38.37192,2.558128,57.80897,17.79,17.44,0.35,DSCT,0.194234,630976,STAR
DO CMi,108.08088,7.205392,9.35075,10.73,10.54,0.19,DSCT,0.1945,150137,STAR
V1088 Cas,19.82171,1.321447333,57.7665,15.83,15.7,0.13,DSCT,0.194762,181088,STAR
V798 Cyg,294.52875,19.63525,30.90931,12.8,12.4,0.4,DSCT:,0.19476629,310798,STAR
V2990 Cyg,307.47596,20.49839733,50.54206,12.4,12.38,0.02,DSCTC,0.19545,312990,STAR
MU Cam,96.31771,6.421180667,73.57747,15.2,14.4,0.8,XM,0.19661,110283,X-RAY BINARY
UX UMa,204.17067,13.611378,51.91375,14.15,12.57,1.58,EA/WD+NL,0.19667128,830037,ALGOL STAR
V395 Dra,270.66442,18.04429467,62.719,13.17,12.68,0.49,DSCT,0.1969,340395,STAR
V467 Dra,220.40933,14.69395533,56.43808,11.75,11.4,0.35,DSCT:,0.197702,340467,STAR
AY Sex,155.94867,10.396578,0.64481,17.9,17.26,0.64,unique,0.198094,770078,STAR G5V
V2797 Oph,275.78775,18.38585,6.85953,10.59,10.6,0.01,DSCTC:,0.19818,592797,STAR
EF CMi,118.21004,7.880669333,0.23622,12.6,12.2,0.4,RRC:,0.198485,150150,STAR
LZ Her,267.37138,17.82475867,29.321,14.6,14.1,0.5,SXPHE,0.198959,400274,STAR
V552 Peg,343.72921,22.91528067,24.24583,12.66,12.7,0.04,BY,0.1994,620552,STAR M2V
V1022 Per,58.94625,3.92975,40.68597,13.65,13.35,0.3,DSCT,0.19961,631022,STAR
VY Psc,26.64708,1.776472,17.41269,6.59,6.54,0.05,DSCTC,0.2,660043,STAR A7III
V963 Ori,94.82033,6.321355333,20.57992,8.5,8.47,0.03,BCEP:,0.2,600963,STAR B2I
FP Ser,238.66783,15.91118867,8.58033,6.255,6.28,0.025,DSCTC,0.2,760179,STAR A7V
V3398 Oph,271.78067,18.11871133,2.16781,15.15,14.75,0.4,RRC,0.200406,593398,STAR
V360 Per,35.70767,2.380511333,57.51172,9.88,9.85,0.03,BCEP:,0.20072,630360,STAR B1III
V595 And,346.07729,23.07181933,48.33,13.3,13,0.3,RRC,0.20085,10595,STAR
BW Vul,313.59329,20.90621933,28.522,6.28,6.52,0.24,BCEP,0.20104117,880100,STAR B1V
V816 And,349.66554,23.311036,35.48,14.28,14.14,0.14,EW,0.201255,10816,W UMA STAR
V337 Ori,89.83575,5.98905,20.03542,11.45,10.9,0.55,DSCT,0.2012592,600337,STAR
V3080 Oph,266.41858,17.76123867,1.03308,16.15,15.75,0.4,RRC,0.201283,593080,STAR
KP Per,53.16242,3.544161333,44.85578,6.23,6.37,0.14,BCEP,0.2017786,630249,STAR B2IV
V486 UMa,179.47438,11.96495867,53.04658,14.15,13.89,0.26,RRC:,0.202293,830486,STAR
EE Cam,86.47912,5.765274667,63.29628,7.86,7.78,0.08,DSCTC,0.2026954,110149,STAR F0
V874 Cep,333.1415,22.20943333,57.25811,12.87,12.9,0.03,BCEP,0.20289,200874,STAR B3V
V797 And,24.09675,1.60645,48.00786,13.53,13.12,0.41,RRC,0.20493,10797,STAR
V909 Cas,24.16062,1.610708,61.43167,10.51,10.7,0.19,BCEP,0.20647,180909,STAR B1III
V1061 Cep,328.12204,21.87480267,59.19811,12.86,12.83,0.03,DSCTC,0.207168,201061,STAR
GM Com,183.10375,12.20691667,27.38008,8.14,8.06,0.08,DSCTC,0.208,250195,STAR F5V
V783 And,0.52204,0.034802667,38.22294,14.79,14.5,0.29,EW,0.2090808,10783,W UMA STAR
V515 Gem,117.75896,7.850597333,34.40161,14.18,13.88,0.3,EW,0.209172,380515,W UMA STAR
V881 Cyg,292.90821,19.527214,29.72072,13.8,13.6,0.2,DSCT:,0.2106556,310881,STAR
V640 Ser,229.22725,15.28181667,0.80733,14.83,14.49,0.34,EW,0.2107336,760640,W UMA STAR
DS Ari,36.85992,2.457328,11.94708,15.46,14.91,0.55,EW,0.2109523,70141,W UMA STAR
V466 Gem,113.48929,7.565952667,26.44753,13.39,13.31,0.08,BCEP:,0.2113,380466,STAR
V771 Lac,341.85008,22.79000533,48.91867,17.04,16.62,0.42,EW:,0.21264,450771,W UMA STAR
V732 Peg,332.74533,22.183022,25.18847,14.87,14.62,0.25,EW,0.2129972,620732,W UMA STAR
V553 Ser,278.32238,18.55482533,5.99192,12.27,12.1,0.17,RRC:,0.21377,760553,STAR
V480 Gem,94.71008,6.314005333,22.08656,14.31,13.77,0.54,EW,0.2143932,380480,W UMA STAR
AR Cnc,140.53154,9.368769333,31.05408,21.3,15.3,6,UG+E,0.2146,120071,CV DWARF NOVA U GEM TYPE
V446 Dra,307.38362,20.49224133,83.205,14.49,12.26,2.23,RRC,0.214752,340446,STAR
V3331 Oph,270.99412,18.06627467,5.07181,17.4,17.14,0.26,EW,0.21529,593331,W UMA STAR
V2731 Cyg,315.33317,21.02221133,33.64122,13.83,13.8,0.03,EW,0.21568,312731,W UMA STAR
V2015 Aql,303.03633,20.202422,8.58614,12.76,12.62,0.14,EW,0.2157631,52015,W UMA STAR
V717 Cas,9.73917,0.649278,48.40694,25.33,24.28,1.05,RRC:,0.21599,180717,STAR
V350 CVn,205.54521,13.703014,28.37344,17.2,16.9,0.3,SXPHE,0.2168508,130350,STAR
V351 CVn,205.54525,13.70301667,28.37486,15.7,15.3,0.4,RRC,0.2168508,130351,STAR
V2449 Cyg,320.87763,21.391842,46.36069,13.94,13.98,0.04,DSCTC:,0.217,312449,STAR
V600 Vul,319.11171,21.274114,25.29339,14.48,14.07,0.41,EW,0.217408,880600,W UMA STAR
LX Lyn,120.45846,8.030564,47.24261,14.07,13.37,0.7,EW,0.217513,510272,W UMA STAR
V384 UMa,165.78692,11.05246133,37.79694,13.7,13.45,0.25,RRC:,0.21756,830384,STAR
OT Cnc,127.86612,8.524408,19.88433,10.43,10.34,0.09,EW,0.2178115,120307,W UMA STAR
V1727 Cyg,322.85925,21.52395,47.29019,18.5,15.6,2.9,E+XR,0.2182579,311727,X-RAY BINARY
V853 Aur,88.57092,5.904728,44.42614,13.06,12.59,0.47,EW,0.2184966,80853,W UMA STAR
V355 Cam,67.19246,4.479497333,55.28364,12.5,12.2,0.3,RRC,0.21852,110355,STAR
KV Gem,101.80242,6.786828,15.72614,12.9,12.4,0.5,RRC:,0.2185467,380255,STAR
LU Gem,94.83042,6.322028,23.46939,7.24,7.21,0.03,BCEP,0.21909,380269,STAR B0II
