name,ra,ra_hours,dec,min_mag,max_mag,mag_range,variability_type,period_days,variable_star_number,class
V710 And,357.83108,23.85540533,33.56394,14.37,14.01,0.36,RRC:,0.219197,10710,STAR
V2973 Cyg,307.18275,20.47885,50.52367,12.78,12.76,0.02,DSCTC,0.21939,312973,STAR
V2942 Cyg,306.44267,20.42951133,50.80889,15.7,15.31,0.39,EW,0.2197,312942,W UMA STAR
V1072 Per,40.45262,2.696841333,37.48,14.79,14.49,0.3,EW,0.2197513,631072,W UMA STAR
V636 Ser,227.93567,15.19571133,16.90733,15.09,14.39,0.7,EW,0.2198642,760636,W UMA STAR
V352 Per,33.40425,2.22695,56.57064,9.49,9.47,0.02,BCEP,0.21995,630352,STAR B1III
V725 Peg,330.64896,22.043264,31.31931,14.93,14.21,0.72,EW,0.220476,620725,W UMA STAR
CC Com,183.02513,12.20167533,22.53297,12.21,11.3,0.91,EW/KW,0.22068628,250104,W UMA STAR
V2843 Ori,82.10775,5.47385,9.66211,14.27,13.93,0.34,EW,0.2207,602843,W UMA STAR
V644 Ser,234.96296,15.66419733,10.90567,15.11,14.45,0.66,EW,0.2207217,760644,W UMA STAR
V510 Gem,116.74433,7.782955333,22.74672,14.58,13.95,0.63,EW,0.2208494,380510,W UMA STAR
V829 Aql,296.73879,19.782586,3.50792,10.55,10.2,0.35,DSCT:,0.221,50829,STAR F5
V840 Lyr,279.40908,18.627272,40.40753,15.1,14.5,0.6,EW,0.221311,520840,W UMA STAR
DL Cam,68.00767,4.533844667,53.91083,5.85,5.81,0.04,BCEP:,0.22132,110134,STAR B0III
V3416 Oph,272.00454,18.133636,1.71108,16.2,15.6,0.6,RRC:,0.222105,593416,STAR
XZ Equ,318.49775,21.23318333,12.45342,14.83,14.55,0.28,EW,0.2221086,350051,W UMA STAR
V443 UMa,143.68162,9.578774667,42.14217,13.5,13.25,0.25,EW,0.2222405,830443,W UMA STAR
HM Cet,31.88092,2.125394667,5.68492,13.48,12.66,0.82,RRC,0.22232,210213,STAR
BW Tri,34.02596,2.268397333,34.63033,13,12.75,0.25,RRC,0.22246,800100,STAR
V721 Peg,329.61046,21.97403067,25.577,13.21,13.14,0.07,EB:,0.222615,620721,BETA LYR STAR
V756 Cas,11.20988,0.747325333,60.30917,8.83,8.74,0.09,DSCTC:,0.2229,180756,STAR F0
V1568 Her,250.42871,16.69524733,36.45008,20.4,19.96,0.44,EW,0.223,401568,W UMA STAR
V860 Aur,107.48121,7.165414,36.73233,13.56,13.23,0.33,EW,0.2230464,80860,W UMA STAR
V587 Aur,72.82396,4.854930667,43.6205,11.39,11.44,0.05,DSCTC:,0.2232,80587,STAR
CT Ari,31.87583,2.125055333,14.93969,16.23,15.34,0.89,EW,0.223445,70120,W UMA STAR
V1498 Her,262.51342,17.50089467,34.75261,13.98,13.61,0.37,EW,0.223714,401498,W UMA STAR
V1316 Cas,19.38638,1.292425333,52.86208,15.15,14.65,0.5,EA,0.2239699,181316,ALGOL STAR
V2700 Cyg,300.82783,20.05518867,33.44992,8.69,8.58,0.11,BCEP,0.2243558,312700,STAR B0II
V1487 Her,254.39429,16.95961933,27.80283,16,15.21,0.79,EW,0.2244964,401487,W UMA STAR
V674 Lac,336.30325,22.42021667,36.28044,13.91,13.76,0.15,EW,0.224736,450674,W UMA STAR
V694 Peg,322.03692,21.469128,15.27275,15.25,14.7,0.55,EW,0.2248421,620694,W UMA STAR
V2586 Cyg,318.12167,21.20811133,48.1255,19.18,19.28,0.1,EW,0.225,312586,W UMA STAR
V1494 Her,261.825,17.455,43.27328,15.5,14.74,0.76,EW,0.2250698,401494,W UMA STAR
V1475 Her,250.95671,16.73044733,32.94383,11.95,11.74,0.21,EW,0.225091,401475,W UMA STAR
V387 Boo,211.38888,14.092592,11.77753,15.82,15.36,0.46,EW,0.2251245,90387,W UMA STAR
HW CVn,200.78642,13.38576133,42.77028,14.87,14.52,0.35,EW,0.225133,130223,W UMA STAR
V735 Peg,335.75846,22.38389733,19.84208,15.65,15.3,0.35,EW,0.2251756,620735,W UMA STAR
V954 Oph,272.34592,18.15639467,1.38453,14.9,14.3,0.6,EW:/KW,0.22527,590954,W UMA STAR
HR CVn,195.29671,13.01978067,42.03719,15.17,14.64,0.53,EW,0.2254352,130218,W UMA STAR
DW Ari,49.25288,3.283525333,19.14428,14.37,13.88,0.49,EW,0.225639,70145,W UMA STAR
DR Com,190.15979,12.67731933,22.36694,14.2,13.7,0.5,RRC,0.22592,250140,STAR
V710 Peg,325.1935,21.67956667,13.12128,13.48,13.32,0.16,EW,0.2259636,620710,W UMA STAR
IT Her,281.44338,18.762892,25.33317,13.3,12.9,0.4,RRC,0.226038,400237,STAR
V1453 Her,240.4835,16.03223333,20.47264,14.34,13.58,0.76,EW,0.22653,401453,W UMA STAR
V1301 Cas,7.63796,0.509197333,57.72981,15.7,14.9,0.8,EW,0.226616,181301,W UMA STAR
V840 Aur,82.36221,5.490814,46.1965,16,15,1,EW,0.2266419,80840,W UMA STAR
V608 Lac,343.24704,22.883136,53.02561,13.97,13.88,0.09,RRC:,0.2267,450608,STAR
NU Vul,303.56054,20.23736933,28.69483,5.31,5.36,0.05,DSCTC,0.227,880296,STAR A7IV
V673 Vir,178.99108,11.93273867,7.33644,15.98,15.15,0.83,EW,0.2270165,860673,W UMA STAR
V3175 Oph,268.60371,17.906914,3.14814,14.45,13.85,0.6,RRC,0.227503,593175,STAR
V442 UMa,142.54546,9.503030667,53.64956,10.71,10.99,0.28,EW,0.2277138,830442,STAR K3V
V693 Vir,196.79279,13.11951933,8.70247,16.56,15.89,0.67,EW,0.2277723,860693,W UMA STAR
V1104 Her,272.44896,18.163264,49.04864,14.19,13.23,0.96,EW,0.2278765,401104,W UMA STAR
V1110 Per,70.38733,4.692488667,44.10375,14.55,14.3,0.25,EW,0.22816,631110,W UMA STAR
V730 Peg,332.6945,22.17963333,21.31042,16.17,15.32,0.85,EW,0.2285385,620730,W UMA STAR
V496 Aqr,315.83325,21.05555,2.15942,16.3,15.6,0.7,EW,0.2285898,40496,W UMA STAR
V1111 Cep,344.03521,22.93568067,59.90833,18.33,14.29,4.04,EA+NL,0.22860562,201111,WHITE DWARF
V671 Vir,178.36042,11.89069467,6.13225,14.57,14.3,0.27,EW,0.228641,860671,W UMA STAR
V1011 Aql,295.39054,19.69270267,11.60461,15.7,15.3,0.4,RRC,0.22877,51011,STAR
V1458 Her,244.74104,16.31606933,26.22736,13.88,13.71,0.17,EW,0.228779,401458,W UMA STAR
HY CVn,203.57413,13.57160867,39.72064,14.95,14.58,0.37,EW,0.2288823,130225,W UMA STAR
V997 Cyg,297.02083,19.80138867,52.85469,14.9,14.1,0.8,RRC,0.22892,310997,STAR
LN Psc,10.21112,0.680741333,7.2705,12.3,12.17,0.13,EW,0.229274,660262,W UMA STAR
NQ Lyn,114.41233,7.627488667,38.83944,22.7,22.2,0.5,RRC:,0.2296,510292,STAR
V2718 Cyg,315.16442,21.01096133,33.55858,15.61,15.42,0.19,EW,0.22961,312718,W UMA STAR
V663 Aur,75.55596,5.037064,44.87964,17.05,16.76,0.29,EW,0.22967,80663,W UMA STAR
QW Leo,162.42683,10.82845533,14.17264,14.46,14.19,0.27,EW,0.2297984,460331,W UMA STAR
V1419 Tau,56.16658,3.744438667,3.07372,13.9,13.7,0.2,EW,0.2298772,781419,W UMA STAR
V728 Peg,331.35104,22.09006933,20.6975,15.75,15.3,0.45,EW,0.2305789,620728,W UMA STAR
V818 And,358.39,23.89266667,45.87942,15.71,15.07,0.64,EW,0.230744,10818,W UMA STAR
V773 Lyr,288.74392,19.24959467,40.87953,16.59,16.46,0.13,EW,0.23077,520773,W UMA STAR
LS Her,240.51579,16.034386,17.48067,11.12,10.79,0.33,RRC,0.23080771,400267,STAR A5
V760 Peg,349.93058,23.32870533,13.68925,15.7,15.35,0.35,EW,0.2308366,620760,W UMA STAR
V2809 Ori,82.53312,5.502208,13.40669,18.8,18.3,0.5,EW,0.23106,602809,W UMA STAR
V729 Peg,331.89362,22.12624133,26.92458,14.9,14.47,0.43,EW,0.2312351,620729,W UMA STAR
V2841 Ori,80.15354,5.343569333,3.06731,12.8,12.4,0.4,EW,0.231404,602841,W UMA STAR
V1241 Cas,359.84587,23.98972467,56.59744,16.8,16.73,0.07,EW,0.2317,181241,W UMA STAR
V3054 Cyg,308.91675,20.59445,50.05186,15.6,15.44,0.16,EW,0.23176,313054,W UMA STAR
RW Tri,36.40067,2.426711333,28.09747,15.61,12.5,3.11,EA/WD+NL,0.231883276,800015,ALGOL STAR
V655 Lac,344.30608,22.95373867,52.28122,16.45,16.21,0.24,EW,0.232622,450655,W UMA STAR
V775 Lac,341.87117,22.79141133,49.93467,14.25,13.85,0.4,RRC,0.2329741,450775,STAR
V1076 Per,44.69575,2.979716667,57.20331,14.65,14.35,0.3,RRC,0.233302,631076,STAR
V523 Cas,10.02613,0.668408667,50.23764,11.78,10.91,0.87,EW,0.2336933,180523,W UMA STAR
V380 Lyn,114.57667,7.638444667,38.85731,24.1,22.8,1.3,EA,0.233955,510380,ALGOL STAR
V1009 Per,49.20621,3.280414,33.50431,14.13,13.54,0.59,EW,0.2341364,631009,W UMA STAR
KW Psc,344.63258,22.97550533,5.87331,12.55,11.9,0.65,EW,0.234276,660256,W UMA STAR
V1405 Tau,72.42529,4.828352667,22.84792,18.51,17.75,0.76,EW,0.2343,781405,W UMA STAR
V767 And,345.45396,23.030264,42.55739,13.16,13.04,0.12,EW,0.2346,10767,W UMA STAR
V898 Lac,344.1705,22.9447,50.62908,16.26,16.08,0.18,RRC,0.2347,450898,STAR
V675 Aur,76.09904,5.073269333,35.66653,18.5,17.82,0.68,EW,0.235,80675,W UMA STAR
V338 Dra,237.29642,15.81976133,60.63414,13.9,13.3,0.6,EW,0.23515,340338,W UMA STAR
LX Leo,147.6155,9.841033333,20.71814,12.95,12.1,0.85,EW,0.235247,460272,W UMA STAR
V3538 Oph,274.01933,18.26795533,2.63286,16.05,15.65,0.4,RRC,0.235722,593538,STAR
V3460 Oph,272.62313,18.17487533,4.38036,14.7,14.4,0.3,RRC,0.236166,593460,STAR
V1172 Her,245.90496,16.393664,15.95567,13.35,12.65,0.7,EW,0.236166,401172,W UMA STAR
V761 Cep,8.52213,0.568142,84.86639,14.12,13.99,0.13,RRC,0.23626,200761,STAR
V767 Lyr,288.49033,19.23268867,40.75247,20.1,19.47,0.63,EW,0.23632,520767,W UMA STAR
V462 Dra,207.48421,13.83228067,66.47444,9.85,9.72,0.13,EW,0.23659,340462,STAR G0
RW Com,188.25117,12.550078,26.71622,11.7,11,0.7,EW/KW,0.2373459,250015,STAR G2
V738 Cas,359.48842,23.96589467,56.76344,19.63,19.3,0.33,EW,0.2384,180738,W UMA STAR
LR Gem,93.81433,6.254288667,22.30114,9.12,9.01,0.11,BCEP,0.23887,380266,STAR B0IV
V386 Dra,268.26808,17.88453867,51.48889,13.7,13.4,0.3,EW,0.2389133,340386,W UMA STAR
OS Cnc,127.01758,8.467838667,17.99197,13.4,13.08,0.32,EW,0.2392515,120306,W UMA STAR
V661 Vir,215.88608,14.39240533,1.99756,14.2,13.65,0.55,EW,0.239499,860661,W UMA STAR
V652 Ser,240.14092,16.00939467,25.03692,16.15,15.85,0.3,EW,0.239523,760652,W UMA STAR
DL Tri,34.35538,2.290358667,28.74503,7.09,7.06,0.03,BY,0.2396,800134,STAR F5V
V626 Peg,324.52154,21.63476933,24.04664,13.5,12.75,0.75,EW,0.239788,620626,W UMA STAR
V774 Lyr,288.79925,19.25328333,40.81958,20.15,19.31,0.84,EW,0.2402,520774,W UMA STAR
V452 CVn,205.58871,13.705914,28.39581,15.693,15.647,0.046,RRC:,0.240425,130452,STAR
TV Lyn,113.38221,7.558814,47.80272,11.66,11.24,0.42,RRC,0.24065119,510029,STAR A6
V486 Lac,333.57788,22.23852533,51.71553,12.5,12.37,0.13,EW:,0.240704,450486,W UMA STAR
V1321 Cas,23.13662,1.542441333,55.25728,14.11,14.04,0.07,EW,0.240953,181321,W UMA STAR
FY Boo,206.71579,13.78105267,22.95372,13.9,13,0.9,EW,0.2411593,90188,W UMA STAR
EW Psc,0.29775,0.01985,9.07817,10.39,10.26,0.13,EW,0.241202,660166,W UMA STAR
V572 Peg,347.60725,23.17381667,34.14528,16.58,16.15,0.43,EW,0.2413931,620572,W UMA STAR
V1096 Her,262.18758,17.479172,43.80364,13.39,13.01,0.38,EW,0.241415,401096,W UMA STAR
V821 Cep,307.56763,20.50450867,60.60894,18.09,17.3,0.79,EW,0.2419,200821,W UMA STAR
V1416 Her,264.74979,17.649986,26.47469,15.79,14.97,0.82,EW,0.2419941,401416,W UMA STAR
V1414 Tau,89.44225,5.962816667,28.21256,15.38,15.13,0.25,RRC:,0.242193,781414,STAR
V2551 Cyg,308.90217,20.593478,52.76258,11,10.75,0.25,EW,0.242324,312551,W UMA STAR
FH CMi,112.26108,7.484072,8.32783,15.31,15.13,0.18,EW,0.2435,150172,W UMA STAR
V368 Dra,259.77575,17.31838333,57.68908,19.37,19.64,0.27,E,0.2435,340368,STAR
V642 Lyr,274.66708,18.31113867,31.96089,17.3,16.7,0.6,EW,0.244485,520642,W UMA STAR
V1355 Tau,75.52842,5.035228,24.46103,14.3,13.6,0.7,EW,0.24467,781355,W UMA STAR
V1418 Her,264.80858,17.65390533,26.71197,15.7,15.61,0.09,EW,0.245108,401418,W UMA STAR
V690 Lyr,290.07788,19.33852533,37.50819,19.03,19.74,0.71,EW,0.2454,520690,W UMA STAR
KZ Cep,344.12879,22.94191933,62.86861,7.76,7.72,0.04,BCEP:,0.24544,200259,STAR B0V
V540 Lac,341.57658,22.771772,43.86886,8.54,8.33,0.21,RRC,0.245445,450540,STAR F2
DY CVn,197.69925,13.17995,36.73558,13.9,13.17,0.73,EW,0.2459506,130147,W UMA STAR
IT Lyn,121.21937,8.081291333,44.12325,13.54,13.16,0.38,EW,0.245968,510237,W UMA STAR
V2697 Cyg,299.36446,19.95763067,43.29556,14.42,13.93,0.49,EW,0.246,312697,W UMA STAR
V1846 Aql,297.83571,19.855714,15.24344,12.65,12.45,0.2,RRC,0.24624,51846,STAR
V880 Lac,343.78529,22.91901933,50.41675,15.66,15.47,0.19,EW,0.247,450880,W UMA STAR
V568 Peg,347.05421,23.13694733,33.05106,13.35,12.9,0.45,EW,0.247074,620568,W UMA STAR
V2777 Cyg,317.83321,21.18888067,41.05811,14.86,14.15,0.71,EW,0.24715,312777,W UMA STAR
V449 UMa,144.67704,9.645136,46.90461,14.17,13.94,0.23,EW,0.247184,830449,W UMA STAR
V632 Vir,194.96179,12.99745267,1.0415,14.1,13.3,0.8,EW,0.247257,860632,W UMA STAR
V1393 Tau,67.26683,4.484455333,14.26286,13.9,13.2,0.7,EW,0.247389,781393,W UMA STAR
V1419 Her,264.80942,17.65396133,26.53381,17.4,17.04,0.36,EW,0.248005,401419,W UMA STAR
V568 Ser,236.20646,15.74709733,3.71486,12.4,11.9,0.5,EW,0.248116,760568,W UMA STAR
V652 Peg,341.6695,22.77796667,32.78214,14.16,13.69,0.47,EW,0.2481787,620652,W UMA STAR
V1720 Cyg,316.91704,21.12780267,48.85519,7.79,7.77,0.02,ELL:,0.248331,311720,STAR G5III
V500 Cam,133.99621,8.933080667,78.40731,14.8,14,0.8,EW,0.24835,110500,W UMA STAR
V543 Lac,341.63379,22.775586,52.5055,16,15.75,0.25,RRC,0.2484,450543,STAR
V739 Lac,341.37375,22.75825,50.75728,17.91,17.03,0.88,EA,0.24862,450739,ALGOL STAR
KV Per,29.64108,1.976072,57.44525,14.3,13.8,0.5,RRC,0.249121,630255,STAR
IK CVn,205.32858,13.688572,28.03231,15.71,15.66,0.05,RRC,0.24924,130228,STAR
V625 And,348.918,23.2612,36.148,14.57,13.98,0.59,EW,0.2495841,10625,W UMA STAR
V2942 Oph,262.24621,17.48308067,4.05956,17.25,16.84,0.41,EW,0.24972,592942,W UMA STAR
V853 Mon,102.93029,6.862019333,0.52186,16.12,15.98,0.14,EW,0.25,550853,W UMA STAR
PQ Com,202.97313,13.531542,15.68822,13.75,13.8,0.05,R,0.25,250315,STAR B0VI
V3370 Oph,271.47717,18.098478,3.53228,15.7,15.1,0.6,RRC,0.250529,593370,STAR
FY Her,271.61858,18.10790533,29.09731,14.6,14.2,0.4,RRC,0.250686,400188,STAR
V811 Cep,301.07013,20.071342,61.09233,14.9,14.2,0.7,EW,0.25076414,200811,W UMA STAR
V1374 Tau,87.01604,5.801069333,28.51317,14.5,13.6,0.9,EB/RS,0.2508621,781374,STAR M3Ve
V381 CVn,205.55171,13.70344733,28.37622,15.65,15.4,0.25,RRC,0.25101,130381,STAR
NX Boo,225.24812,15.01654133,34.19472,13.2,12.8,0.4,EW,0.251134,90299,W UMA STAR
V814 Aur,110.62446,7.374964,41.05469,13.71,13.59,0.12,EW,0.2511428,80814,W UMA STAR
V3252 Oph,269.89092,17.992728,5.64956,13.7,13.3,0.4,EW,0.251186,593252,W UMA STAR
BT Tri,32.56446,2.170964,30.44619,14.8,14.2,0.6,EW,0.2512,800097,W UMA STAR
IS Boo,214.00063,14.26670867,49.23783,14.39,13.8,0.59,EW,0.2514501,90236,W UMA STAR
V414 Cam,88.35429,5.890286,79.75028,14.2,13.75,0.45,RRC,0.25155,110414,STAR
V3146 Cyg,322.96292,21.53086133,29.36208,13.95,13.8,0.15,EW,0.2517635,313146,W UMA STAR
BI Vul,320.70008,21.38000533,27.02778,14.9,14.15,0.75,EW/KW,0.251818,880087,W UMA STAR
V2572 Cyg,317.58833,21.17255533,48.37186,18.98,19.04,0.06,EW,0.252,312572,W UMA STAR
DU Ari,47.51808,3.167872,27.86461,16.2,15.44,0.76,EW,0.2520515,70143,W UMA STAR
HN Lyn,117.19721,7.813147333,45.77878,12.25,12.17,0.08,EW,0.2524572,510214,W UMA STAR
XY Ari,44.03413,2.935608667,19.44283,17.6,13.54,4.06,XM,0.25271,70050,STAR G0
PS Com,179.81683,11.98778867,14.23589,13.25,12.7,0.55,EW,0.252746,250317,W UMA STAR
V567 Cam,104.38038,6.958692,72.83,14.2,13.8,0.4,E:,0.252765,110567,STAR
HO CVn,191.04087,12.736058,36.05639,15.61,15.05,0.56,EW,0.252812,130215,W UMA STAR
V796 Lac,342.39204,22.826136,49.30342,17.37,16.62,0.75,EW,0.25306,450796,W UMA STAR
V3228 Oph,269.56517,17.97101133,0.83958,15.95,15.5,0.45,EW,0.253104,593228,W UMA STAR
V357 Boo,216.02567,14.40171133,48.85433,15.23,14.66,0.57,EW,0.2536896,90357,W UMA STAR
DE Lac,332.53233,22.168822,40.91961,10.43,10.08,0.35,DSCT,0.2536934,450128,STAR F5
V373 UMa,143.16946,9.544630667,42.35233,12.6,12.2,0.4,RRC,0.25399,830373,STAR
V431 Gem,114.85296,7.656864,23.94036,17.3,17.5,0.2,EW:,0.254,380431,W UMA STAR
QV Dra,231.54888,15.436592,54.38294,13.1,12.7,0.4,RRC,0.254,340330,STAR
V2577 Cyg,317.77042,21.18469467,48.13433,19.24,19.53,0.29,EW,0.254,312577,W UMA STAR
V1147 Her,240.18412,16.01227467,43.14494,14.3,13.8,0.5,EW,0.254468,401147,W UMA STAR
V3559 Oph,274.39671,18.293114,8.53878,14.2,13.3,0.9,EW,0.25454,593559,W UMA STAR
V1106 Her,273.35171,18.22344733,25.83656,12.9,12.6,0.3,EW,0.254573,401106,W UMA STAR
V3093 Oph,267.04058,17.80270533,6.15269,16.3,15.75,0.55,EW,0.254585,593093,W UMA STAR
V829 Lac,343.13371,22.87558067,48.92161,15.05,14.75,0.3,EW,0.2549142,450829,W UMA STAR
V1144 Her,239.23962,15.949308,42.22689,15.4,14.6,0.8,EW,0.25497,401144,W UMA STAR
V902 Mon,96.94333,6.462888667,1.80311,15.5,13.5,2,E+NL,0.2551,550902,CV DWARF NOVA U GEM TYPE
V3102 Oph,267.26404,17.81760267,5.10536,16,15.4,0.6,EW,0.255458,593102,W UMA STAR
DH Peg,333.85683,22.257122,6.82261,9.8,9.15,0.65,RRC,0.2555104,620131,STAR A5
DG Tri,23.22533,1.548355333,32.49306,15.29,15.16,0.13,EW,0.255691,800130,W UMA STAR
NR Cam,118.62742,7.908494667,78.11261,11.25,10.76,0.49,EW,0.255885,110293,W UMA STAR
V594 Lyr,281.34067,18.75604467,45.89125,13.67,14,0.33,EW:,0.256002,520594,W UMA STAR
V2394 Cyg,295.34558,19.68970533,40.24431,18.11,18.27,0.16,EW:,0.2562,312394,W UMA STAR
V416 Gem,104.94708,6.996472,22.49683,13.2,12.7,0.5,EW,0.25625,380416,W UMA STAR
MQ Lyn,126.33233,8.422155333,37.80692,15.45,15.12,0.33,RRC,0.2563447,510279,STAR
V3504 Oph,273.37867,18.22524467,3.67983,16.1,15.65,0.45,EW,0.25638,593504,W UMA STAR
V3130 Oph,267.91254,17.860836,4.53544,13.95,13.7,0.25,RRC,0.256396,593130,STAR
V503 Vir,207.703,13.84686667,1.55514,16.17,15,1.17,EW,0.2564941,860503,W UMA STAR
V386 UMa,166.12158,11.074772,38.48892,15.84,15.49,0.35,EW,0.2567594,830386,W UMA STAR
V3152 Oph,268.22433,17.881622,4.40956,16.2,15.9,0.3,RRC,0.256808,593152,STAR